number,value,datetime_start,datetime_complete,duration,params_lags,params_lags_past_covariates,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
126,52257.164758323444,2025-11-10 15:24:00.725594,2025-11-10 15:24:08.287532,0 days 00:00:07.561938,30,1,0.5688993136423249,4,127,0.5429962174169912,COMPLETE
127,51633.87346126708,2025-11-10 15:24:08.324803,2025-11-10 15:24:15.335297,0 days 00:00:07.010494,30,1,0.34351572317616447,3,125,0.5321063767667573,COMPLETE
128,54468.31522768546,2025-11-10 15:24:15.436443,2025-11-10 15:24:22.371569,0 days 00:00:06.935126,10,1,0.32225124233536623,4,130,0.4823524476393163,COMPLETE
129,52025.28057499964,2025-11-10 15:24:22.385232,2025-11-10 15:24:28.227122,0 days 00:00:05.841890,30,1,0.8461918388918871,3,116,0.5732203176336712,COMPLETE
130,52191.95742940555,2025-11-10 15:24:28.241413,2025-11-10 15:24:36.299410,0 days 00:00:08.057997,30,3,0.3915738214978879,3,141,0.4525098533194212,COMPLETE
131,51982.11452606277,2025-11-10 15:24:36.327028,2025-11-10 15:24:43.339878,0 days 00:00:07.012850,29,2,0.3099867257062417,3,119,0.5222630112726272,COMPLETE
132,52457.54523894412,2025-11-10 15:24:43.372741,2025-11-10 15:24:50.499812,0 days 00:00:07.127071,29,2,0.5022298764777119,3,171,0.5473275273392978,COMPLETE
133,51241.62956265306,2025-11-10 15:24:50.525262,2025-11-10 15:24:56.040468,0 days 00:00:05.515206,28,1,0.17389823207503266,3,97,0.5029258221069322,COMPLETE
134,52832.95258503978,2025-11-10 15:24:56.080554,2025-11-10 15:25:02.310690,0 days 00:00:06.230136,28,1,0.1758894137009206,4,93,0.4893849112179547,COMPLETE
135,52911.7055331751,2025-11-10 15:25:02.322441,2025-11-10 15:25:10.960933,0 days 00:00:08.638492,30,1,0.6042719959124105,5,107,0.5911038478503544,COMPLETE
136,52032.63958259007,2025-11-10 15:25:10.973376,2025-11-10 15:25:16.518902,0 days 00:00:05.545526,27,4,0.39147721532499896,2,78,0.5025292322960161,COMPLETE
137,56554.938555541776,2025-11-10 15:25:16.530984,2025-11-10 15:25:29.544360,0 days 00:00:13.013376,28,3,0.14470595302621672,6,154,0.5528642692359136,COMPLETE
138,52135.104047626926,2025-11-10 15:25:29.567645,2025-11-10 15:25:34.663458,0 days 00:00:05.095813,30,2,0.30538991393376835,1,83,0.5253381257812338,COMPLETE
139,56831.74958502926,2025-11-10 15:25:34.677185,2025-11-10 15:26:04.706590,0 days 00:00:30.029405,29,1,0.7430596319896021,9,130,0.6555348201165679,COMPLETE
140,54598.646139502016,2025-11-10 15:26:04.718442,2025-11-10 15:26:13.582805,0 days 00:00:08.864363,27,11,0.4993037749884437,3,106,0.460300400345832,COMPLETE
141,51932.11523598944,2025-11-10 15:26:13.595226,2025-11-10 15:26:22.971812,0 days 00:00:09.376586,29,2,0.24565049807248232,3,198,0.5342358839108178,COMPLETE
142,52374.07510929418,2025-11-10 15:26:22.984619,2025-11-10 15:26:29.553026,0 days 00:00:06.568407,30,2,0.20614129094380648,3,91,0.49710685342136846,COMPLETE
143,70001.53344902242,2025-11-10 15:26:29.565268,2025-11-10 15:26:39.223757,0 days 00:00:09.658489,29,1,0.0018335831130598676,2,399,0.5120199288448082,COMPLETE
144,55262.59009899964,2025-11-10 15:26:39.259949,2025-11-10 15:26:48.820587,0 days 00:00:09.560638,28,3,0.37227495730471794,4,169,0.5742492287242918,COMPLETE
145,53410.878776682555,2025-11-10 15:26:48.832701,2025-11-10 15:26:54.506967,0 days 00:00:05.674266,5,2,0.2687796753114288,2,145,0.480850414199926,COMPLETE
146,51850.54902780893,2025-11-10 15:26:54.528636,2025-11-10 15:27:00.056182,0 days 00:00:05.527546,30,1,0.42854934587765603,3,57,0.5425920792819632,COMPLETE
147,51575.33668311882,2025-11-10 15:27:00.067923,2025-11-10 15:27:07.045645,0 days 00:00:06.977722,29,4,0.17621965550832844,2,100,0.6173835561956663,COMPLETE
148,51662.27733298176,2025-11-10 15:27:07.058611,2025-11-10 15:27:13.631927,0 days 00:00:06.573316,28,4,0.17021853285078603,2,116,0.6062518780759567,COMPLETE
149,63456.3499294027,2025-11-10 15:27:13.645667,2025-11-10 15:27:19.519735,0 days 00:00:05.874068,29,3,0.01453457952246759,1,115,0.6456804491378799,COMPLETE
150,52548.72115267046,2025-11-10 15:27:19.542346,2025-11-10 15:27:25.250396,0 days 00:00:05.708050,30,1,0.13245374701456328,2,99,0.15007658987115913,COMPLETE
151,51832.645082925315,2025-11-10 15:27:25.263340,2025-11-10 15:27:31.858220,0 days 00:00:06.594880,28,4,0.17994055337090994,2,84,0.6130881640269003,COMPLETE
152,51271.00799454235,2025-11-10 15:27:31.884675,2025-11-10 15:27:38.874577,0 days 00:00:06.989902,29,4,0.16822607489792793,2,132,0.5893186297588684,COMPLETE
153,51760.19391092479,2025-11-10 15:27:38.896922,2025-11-10 15:27:45.686987,0 days 00:00:06.790065,29,5,0.15899373714580647,2,139,0.5985990762033112,COMPLETE
154,51179.947249571786,2025-11-10 15:27:45.727805,2025-11-10 15:27:50.486981,0 days 00:00:04.759176,27,3,0.12542749892297375,1,133,0.5977399175649206,COMPLETE
155,51275.09148010712,2025-11-10 15:27:50.514306,2025-11-10 15:27:55.708461,0 days 00:00:05.194155,27,3,0.11489143966726029,1,136,0.6253635760581588,COMPLETE
