number,value,datetime_start,datetime_complete,duration,params_criterion,params_lags,params_lags_past_covariates,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_usar_max_depth,state
98,59582.82503862225,2025-11-10 15:01:39.581380,2025-11-10 15:04:47.897529,0 days 00:03:08.316149,squared_error,14,1,4,33,637,False,COMPLETE
99,54599.3571441704,2025-11-10 15:04:47.934650,2025-11-10 15:07:06.146946,0 days 00:02:18.212296,poisson,17,5,7,16,478,False,COMPLETE
100,53340.743755480406,2025-11-10 15:07:06.167150,2025-11-10 15:08:30.470014,0 days 00:01:24.302864,friedman_mse,16,8,6,12,223,False,COMPLETE
101,52772.36972930408,2025-11-10 15:08:30.483476,2025-11-10 15:10:32.930442,0 days 00:02:02.446966,squared_error,13,5,4,11,409,False,COMPLETE
102,52754.032870223535,2025-11-10 15:10:32.943332,2025-11-10 15:14:41.636284,0 days 00:04:08.692952,squared_error,13,4,3,11,892,False,COMPLETE
103,53724.651221012464,2025-11-10 15:14:41.669624,2025-11-10 15:18:51.231998,0 days 00:04:09.562374,squared_error,13,4,3,14,913,False,COMPLETE
104,53071.80301368402,2025-11-10 15:18:51.244719,2025-11-10 15:20:51.207891,0 days 00:01:59.963172,squared_error,11,2,2,12,407,False,COMPLETE
105,52827.364776662704,2025-11-10 15:20:51.222113,2025-11-10 15:23:09.062516,0 days 00:02:17.840403,squared_error,11,4,3,11,471,False,COMPLETE
106,53392.70910378086,2025-11-10 15:23:09.099869,2025-11-10 15:27:42.194386,0 days 00:04:33.094517,squared_error,9,5,1,13,991,False,COMPLETE
107,52684.793246781,2025-11-10 15:27:42.207276,2025-11-10 15:29:30.680572,0 days 00:01:48.473296,squared_error,13,3,3,11,335,False,COMPLETE
108,54186.39477605411,2025-11-10 15:29:30.692948,2025-11-10 15:31:22.416302,0 days 00:01:51.723354,squared_error,13,6,4,15,376,False,COMPLETE
109,52592.67083587214,2025-11-10 15:31:22.475632,2025-11-10 15:35:05.043800,0 days 00:03:42.568168,squared_error,15,2,3,10,801,False,COMPLETE
110,52582.08970835987,2025-11-10 15:35:05.056700,2025-11-10 15:38:40.484064,0 days 00:03:35.427364,squared_error,14,2,3,10,792,False,COMPLETE
111,52586.32535013797,2025-11-10 15:38:40.499018,2025-11-10 15:42:14.508176,0 days 00:03:34.009158,squared_error,14,2,3,10,754,False,COMPLETE
112,52592.67083587214,2025-11-10 15:42:14.521992,2025-11-10 15:45:54.317340,0 days 00:03:39.795348,squared_error,15,2,3,10,801,False,COMPLETE
113,52540.08403446856,2025-11-10 15:45:54.339814,2025-11-10 15:49:30.872436,0 days 00:03:36.532622,squared_error,16,1,3,10,795,False,COMPLETE
114,52555.622470808055,2025-11-10 15:49:30.900524,2025-11-10 15:52:53.698079,0 days 00:03:22.797555,squared_error,15,1,3,10,747,False,COMPLETE
115,52546.07642084155,2025-11-10 15:52:53.728721,2025-11-10 15:56:20.279720,0 days 00:03:26.550999,squared_error,18,1,3,10,757,False,COMPLETE
116,52541.7601809326,2025-11-10 15:56:20.292746,2025-11-10 15:59:56.411532,0 days 00:03:36.118786,squared_error,16,1,3,10,785,False,COMPLETE
117,52540.4031332285,2025-11-10 15:59:56.452606,2025-11-10 16:03:39.696740,0 days 00:03:43.244134,squared_error,16,1,3,10,800,False,COMPLETE
118,52705.39037505807,2025-11-10 16:03:39.710142,2025-11-10 16:07:35.045831,0 days 00:03:55.335689,absolute_error,18,1,3,10,785,False,COMPLETE
119,52543.93664942986,2025-11-10 16:07:35.059092,2025-11-10 16:11:45.587750,0 days 00:04:10.528658,squared_error,17,2,3,10,833,False,COMPLETE
120,52541.820341420986,2025-11-10 16:11:45.599909,2025-11-10 16:15:33.468767,0 days 00:03:47.868858,squared_error,17,2,3,10,825,False,COMPLETE
121,52542.37762678531,2025-11-10 16:15:33.479947,2025-11-10 16:19:15.548704,0 days 00:03:42.068757,squared_error,17,2,3,10,813,False,COMPLETE
122,52547.7045380346,2025-11-10 16:19:15.560739,2025-11-10 16:23:06.719046,0 days 00:03:51.158307,squared_error,18,1,3,10,825,False,COMPLETE
123,52556.0584178857,2025-11-10 16:23:06.741201,2025-11-10 16:26:43.011763,0 days 00:03:36.270562,squared_error,19,1,3,10,792,False,COMPLETE
124,52559.37659218827,2025-11-10 16:26:43.024052,2025-11-10 16:29:51.249638,0 days 00:03:08.225586,squared_error,19,1,3,10,681,False,COMPLETE
125,60117.32237215389,2025-11-10 16:29:51.261236,2025-11-10 16:32:58.892290,0 days 00:03:07.631054,squared_error,19,1,18,10,665,False,COMPLETE
126,52528.24388780822,2025-11-10 16:32:58.904369,2025-11-10 16:35:49.787833,0 days 00:02:50.883464,squared_error,17,1,3,10,617,False,COMPLETE
127,52602.52680578387,2025-11-10 16:35:49.799217,2025-11-10 16:39:46.670628,0 days 00:03:56.871411,poisson,18,1,3,10,849,False,COMPLETE
128,52530.768984025635,2025-11-10 16:39:46.683162,2025-11-10 16:42:51.985196,0 days 00:03:05.302034,squared_error,17,1,3,10,627,False,COMPLETE
129,52524.7807014094,2025-11-10 16:42:51.996614,2025-11-10 16:46:03.797737,0 days 00:03:11.801123,friedman_mse,17,1,2,10,613,False,COMPLETE
130,52865.62715906247,2025-11-10 16:46:03.809062,2025-11-10 16:49:12.494556,0 days 00:03:08.685494,friedman_mse,17,1,2,12,596,False,COMPLETE
131,52524.58005250698,2025-11-10 16:49:12.508359,2025-11-10 16:52:50.572796,0 days 00:03:38.064437,friedman_mse,17,1,2,10,707,False,COMPLETE
132,52524.81345293772,2025-11-10 16:52:50.583661,2025-11-10 16:57:38.890415,0 days 00:04:48.306754,friedman_mse,17,1,1,10,973,False,COMPLETE
133,52526.24208979992,2025-11-10 16:57:38.913106,2025-11-10 17:02:35.575935,0 days 00:04:56.662829,friedman_mse,17,1,1,10,996,False,COMPLETE
134,52539.6531663985,2025-11-10 17:02:35.590044,2025-11-10 17:07:35.178809,0 days 00:04:59.588765,friedman_mse,17,2,1,10,980,False,COMPLETE
135,52570.60352899836,2025-11-10 17:07:35.191404,2025-11-10 17:12:27.824304,0 days 00:04:52.632900,friedman_mse,16,2,1,10,961,False,COMPLETE
136,52904.278913900685,2025-11-10 17:12:27.835799,2025-11-10 17:15:38.978688,0 days 00:03:11.142889,friedman_mse,17,2,1,12,618,False,COMPLETE
137,52548.76202053299,2025-11-10 17:15:38.990721,2025-11-10 17:18:27.107456,0 days 00:02:48.116735,friedman_mse,17,2,1,10,527,False,COMPLETE
138,52913.749006400176,2025-11-10 17:18:27.141492,2025-11-10 17:23:30.934205,0 days 00:05:03.792713,friedman_mse,16,1,2,12,998,False,COMPLETE
139,55261.87749350306,2025-11-10 17:23:30.946035,2025-11-10 17:27:09.153914,0 days 00:03:38.207879,friedman_mse,18,2,1,20,688,False,COMPLETE
140,52529.73996010873,2025-11-10 17:27:09.165191,2025-11-10 17:31:44.607076,0 days 00:04:35.441885,friedman_mse,17,1,2,10,888,False,COMPLETE
141,52528.88932994534,2025-11-10 17:31:44.618553,2025-11-10 17:36:21.353458,0 days 00:04:36.734905,friedman_mse,17,1,2,10,892,False,COMPLETE
142,52577.57103564423,2025-11-10 17:36:21.364795,2025-11-10 17:40:51.440135,0 days 00:04:30.075340,friedman_mse,16,2,2,10,882,False,COMPLETE
